Company Name,Exchange:Ticker,Country,Region,Primary Industry,AV Industry,AV Sector,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016,IQ_LTM
Stryker Corporation (NYSE:SYK),NYSE:SYK,United States,North America,Healthcare Equipment,Engineering,Medical Devices,"$1,103 ","$2,104 ","$2,289 ","$2,602 ","$3,012 ","$3,625 ","$4,262 ","$4,872 ","$5,406 ","$6,001 ","$6,718 ","$6,723 ","$7,320 ","$8,307 ","$8,657 ","$9,021 ","$9,675 ","$9,946 ","$11,325 ","$11,325 "
Chongqing Changan Automobile Company Limited (SZSE:200625),SZSE:200625,China,Asia-Pacific,Automobile Manufacturers,Auto & Transportation,Auto OEM,$359 ,$791 ,$973 ,"$1,031 ","$1,384 ","$2,038 ","$2,598 ","$2,783 ","$3,728 ","$1,992 ","$1,942 ","$3,659 ","$4,802 ","$3,855 ","$4,278 ","$5,587 ","$7,683 ","$9,658 ",$0 ,"$10,493 "
"Applied Materials, Inc. (NasdaqGS:AMAT)",NasdaqGS:AMAT,United States,North America,Semiconductor Equipment,TIME,Tech HW Equipment,"$4,042 ","$4,859 ","$9,564 ","$7,343 ","$5,062 ","$4,477 ","$8,013 ","$6,992 ","$9,167 ","$9,735 ","$8,129 ","$5,014 ","$9,549 ","$10,517 ","$8,719 ","$7,509 ","$9,072 ","$9,659 ","$10,825 ","$11,846 "
CSX Corporation (NasdaqGS:CSX),NasdaqGS:CSX,United States,North America,Railroads,Auto & Transportation,Highways and Railtracks,"$9,898 ","$10,811 ","$8,191 ","$8,110 ","$8,152 ","$7,793 ","$8,020 ","$8,618 ","$9,566 ","$10,030 ","$11,255 ","$9,041 ","$10,636 ","$11,743 ","$11,756 ","$12,026 ","$12,669 ","$11,811 ","$11,069 ","$11,069 "
Celgene Corporation (NasdaqGS:CELG),NasdaqGS:CELG,United States,North America,Biotechnology,Services,Health Care,$4 ,$26 ,$84 ,$114 ,$136 ,$271 ,$378 ,$537 ,$899 ,"$1,406 ","$2,255 ","$2,690 ","$3,626 ","$4,842 ","$5,507 ","$6,494 ","$7,670 ","$9,256 ","$11,229 ","$11,229 "
NGL Energy Partners LP (NYSE:NGL),NYSE:NGL,United States,North America,Oil and Gas Storage and Transportation,Resources/Process Material,Oil & Gas,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$834 ,$735 ,$736 ,$939 ,"$1,310 ","$4,418 ","$9,699 ","$16,802 ","$11,742 ","$11,500 "
Kesko Oyj (HLSE:KESBV),HLSE:KESBV,Finland,Europe,Food Retail,Services,Retail,"$6,610 ","$6,737 ","$6,989 ","$6,957 ","$6,803 ","$7,840 ","$8,335 ","$8,755 ","$9,205 ","$10,030 ","$10,100 ","$8,887 ","$9,234 ","$9,953 ","$10,190 ","$9,800 ","$9,543 ","$9,223 ",$0 ,"$10,080 "
GOME Electrical Appliances Holding Limited (SEHK:493),SEHK:493,Hong Kong,Asia-Pacific,Computer and Electronics Retail,TIME,Retail,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,574 ","$2,608 ","$3,591 ","$6,168 ","$6,663 ","$6,195 ","$7,392 ","$8,686 ","$6,950 ","$8,189 ","$8,764 ","$9,343 ",$0 ,"$9,905 "
KLM Royal Dutch Airlines (OTCPK:KLMR),OTCPK:KLMR,Netherlands,Europe,Airlines,Services,Airlines,"$6,380 ","$6,362 ","$6,624 ","$7,322 ","$6,872 ","$6,823 ","$6,183 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,798 ","$9,966 ","$10,193 ","$10,145 ","$10,526 ",$0 ,"$10,421 "
"Core-Mark Holding Company, Inc. (NasdaqGS:CORE)",NasdaqGS:CORE,United States,North America,Distributors,Services,Trading & Distribution,$0 ,$0 ,$0 ,$0 ,"$4,662 ","$4,324 ","$4,222 ","$3,696 ","$4,001 ","$4,212 ","$4,571 ","$5,016 ","$5,510 ","$6,163 ","$6,905 ","$7,717 ","$8,170 ","$8,858 ",$0 ,"$14,529 "
"AutoZone, Inc. (NYSE:AZO)",NYSE:AZO,United States,North America,Automotive Retail,Services,Retail,"$3,243 ","$4,116 ","$4,483 ","$4,818 ","$5,326 ","$5,457 ","$5,637 ","$5,711 ","$5,948 ","$6,170 ","$6,523 ","$6,817 ","$7,363 ","$8,073 ","$8,604 ","$9,148 ","$9,475 ","$10,187 ","$10,636 ","$10,717 "
Entergy Corporation (NYSE:ETR),NYSE:ETR,United States,North America,Electric Utilities,Services,Utilities,"$11,495 ","$8,773 ","$10,016 ","$9,621 ","$8,305 ","$9,195 ","$10,124 ","$10,106 ","$10,932 ","$11,484 ","$13,094 ","$10,746 ","$11,488 ","$11,229 ","$10,302 ","$11,391 ","$12,495 ","$11,513 ",$0 ,"$10,846 "
Newell Brands Inc. (NYSE:NWL),NYSE:NWL,United States,North America,Housewares and Specialties,Engineering,White Goods,"$3,720 ","$6,413 ","$6,935 ","$6,909 ","$7,454 ","$7,750 ","$6,748 ","$6,343 ","$6,201 ","$6,407 ","$6,471 ","$5,578 ","$5,759 ","$5,865 ","$5,903 ","$5,693 ","$5,727 ","$5,916 ",$0 ,"$10,689 "
Aurubis AG (XTRA:NDA),XTRA:NDA,Germany,Europe,Copper,Resources/Process Material,Base Metal,"$1,261 ","$1,161 ","$2,025 ","$2,162 ","$2,023 ","$1,952 ","$2,640 ","$3,183 ","$6,056 ","$6,810 ","$8,849 ","$7,054 ","$10,398 ","$14,056 ","$14,517 ","$13,005 ","$11,932 ","$11,691 ","$9,977 ","$10,047 "
MTN Group Limited (JSE:MTN),JSE:MTN,South Africa,Emerging,Wireless Telecommunication Services,TIME,Telecome Operators,$64 ,$111 ,$459 ,$637 ,$950 ,"$1,483 ","$1,825 ","$2,774 ","$3,944 ","$5,592 ","$7,838 ","$8,558 ","$8,767 ","$9,318 ","$10,329 ","$10,435 ","$11,233 ","$11,284 ",$0 ,"$11,993 "
"Korean Air Lines Co.,Ltd. (KOSE:A003490)",KOSE:A003490,South Korea,Asia-Pacific,Airlines,Services,Airlines,"$4,152 ","$4,359 ","$4,997 ","$5,120 ","$5,628 ","$5,547 ","$6,464 ","$6,812 ","$7,243 ","$7,905 ","$9,140 ","$8,421 ","$10,305 ","$10,695 ","$11,088 ","$10,329 ","$10,382 ","$10,081 ",$0 ,"$10,215 "
"Baidu, Inc. (NasdaqGS:BIDU)",NasdaqGS:BIDU,China,Asia-Pacific,Internet Software and Services,TIME,SW & Computer Services,$0 ,$0 ,$0 ,$0 ,$2 ,$6 ,$16 ,$46 ,$122 ,$253 ,$464 ,$646 ,"$1,149 ","$2,105 ","$3,239 ","$4,638 ","$7,122 ","$9,601 ",$0 ,"$10,314 "
